I'm the processus 0 on 4 processes.
Send task row 0 to slave 1
Send task row 1 to slave 2
Send task row 2 to slave 3
Send task row 3 to slave 3
Send task row 4 to slave 1
Send task row 5 to slave 3
Send task row 6 to slave 1
Send task row 7 to slave 3
Send task row 8 to slave 1
Send task row 9 to slave 3
Send task row 10 to slave 1
Send task row 11 to slave 3
Send task row 12 to slave 1
Send task row 13 to slave 3
Send task row 14 to slave 1
Send task row 15 to slave 3
Send task row 16 to slave 1
Send task row 17 to slave 3
Send task row 18 to slave 1
Send task row 19 to slave 3
Send task row 20 to slave 1
Send task row 21 to slave 3
Send task row 22 to slave 1
Send task row 23 to slave 3
Send task row 24 to slave 1
Send task row 25 to slave 2
Send task row 26 to slave 3
Send task row 27 to slave 3
Send task row 28 to slave 3
Send task row 29 to slave 3
Send task row 30 to slave 3
Send task row 31 to slave 3
Send task row 32 to slave 3
Send task row 33 to slave 3
Send task row 34 to slave 3
Send task row 35 to slave 3
Send task row 36 to slave 3
Send task row 37 to slave 3
Send task row 38 to slave 2
Send task row 39 to slave 2
Send task row 40 to slave 2
Send task row 41 to slave 2
Send task row 42 to slave 3
Send task row 43 to slave 2
Send task row 44 to slave 3
Send task row 45 to slave 2
Send task row 46 to slave 3
Send task row 47 to slave 2
Send task row 48 to slave 3
Send task row 49 to slave 2
Send task row 50 to slave 3
Send task row 51 to slave 2
Send task row 52 to slave 3
Send task row 53 to slave 2
Send task row 54 to slave 3
Send task row 55 to slave 1
Send task row 56 to slave 3
Send task row 57 to slave 1
Send task row 58 to slave 3
Send task row 59 to slave 1
Send task row 60 to slave 3
Send task row 61 to slave 1
Send task row 62 to slave 3
Send task row 63 to slave 1
Send task row 64 to slave 2
Send task row 65 to slave 3
Send task row 66 to slave 2
Send task row 67 to slave 1
Send task row 68 to slave 3
Send task row 69 to slave 2
Send task row 70 to slave 1
Send task row 71 to slave 3
Send task row 72 to slave 2
Send task row 73 to slave 1
Send task row 74 to slave 3
Send task row 75 to slave 1
Send task row 76 to slave 2
Send task row 77 to slave 3
Send task row 78 to slave 2
Send task row 79 to slave 1
Send task row 80 to slave 3
Send task row 81 to slave 2
Send task row 82 to slave 1
Send task row 83 to slave 3
Send task row 84 to slave 2
Send task row 85 to slave 1
Send task row 86 to slave 3
Send task row 87 to slave 2
Send task row 88 to slave 1
Send task row 89 to slave 3
Send task row 90 to slave 2
Send task row 91 to slave 1
Send task row 92 to slave 3
Send task row 93 to slave 2
Send task row 94 to slave 1
Send task row 95 to slave 3
Send task row 96 to slave 2
Send task row 97 to slave 1
Send task row 98 to slave 3
Send task row 99 to slave 2
Send task row 100 to slave 1
Send task row 101 to slave 3
Send task row 102 to slave 2
Send task row 103 to slave 1
Send task row 104 to slave 3
Send task row 105 to slave 2
Send task row 106 to slave 1
Send task row 107 to slave 3
Send task row 108 to slave 2
Send task row 109 to slave 1
Send task row 110 to slave 3
Send task row 111 to slave 1
Send task row 112 to slave 2
Send task row 113 to slave 3
Send task row 114 to slave 1
Send task row 115 to slave 2
Send task row 116 to slave 3
Send task row 117 to slave 1
Send task row 118 to slave 2
Send task row 119 to slave 3
Send task row 120 to slave 2
Send task row 121 to slave 1
Send task row 122 to slave 3
Send task row 123 to slave 2
Send task row 124 to slave 1
Send task row 125 to slave 3
Send task row 126 to slave 3
Send task row 127 to slave 1
Send task row 128 to slave 2
Send task row 129 to slave 1
Send task row 130 to slave 3
Send task row 131 to slave 2
Send task row 132 to slave 3
Send task row 133 to slave 2
Send task row 134 to slave 1
Send task row 135 to slave 3
Send task row 136 to slave 2
Send task row 137 to slave 1
Send task row 138 to slave 3
Send task row 139 to slave 2
Send task row 140 to slave 1
Send task row 141 to slave 3
Send task row 142 to slave 2
Send task row 143 to slave 1
Send task row 144 to slave 3
Send task row 145 to slave 2
Send task row 146 to slave 1
Send task row 147 to slave 3
Send task row 148 to slave 2
Send task row 149 to slave 1
Send task row 150 to slave 3
Send task row 151 to slave 2
Send task row 152 to slave 1
Send task row 153 to slave 3
Send task row 154 to slave 2
Send task row 155 to slave 1
Send task row 156 to slave 3
Send task row 157 to slave 2
